R,Exact,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.471518E+00,1.471989E+00,1.471684E+00,1.485637E+00,1.471748E+00,1.471707E+00
0.0015,1.471519E+00,1.471962E+00,1.471608E+00,1.488609E+00,1.471758E+00,1.471680E+00
0.0025,1.471522E+00,1.471900E+00,1.471571E+00,1.487543E+00,1.471809E+00,1.471691E+00
0.0035,1.471527E+00,1.471899E+00,1.471564E+00,1.487685E+00,1.471894E+00,1.471731E+00
0.0045,1.471533E+00,1.471887E+00,1.471560E+00,1.487194E+00,1.471980E+00,1.471773E+00
0.0055,1.471540E+00,1.471893E+00,1.471563E+00,1.487111E+00,1.472074E+00,1.471822E+00
0.0065,1.471549E+00,1.471894E+00,1.471568E+00,1.486769E+00,1.472168E+00,1.471871E+00
0.0075,1.471559E+00,1.471903E+00,1.471576E+00,1.486628E+00,1.472265E+00,1.471923E+00
0.0085,1.471571E+00,1.471910E+00,1.471586E+00,1.486350E+00,1.472362E+00,1.471974E+00
0.0095,1.471584E+00,1.471923E+00,1.471598E+00,1.486191E+00,1.472460E+00,1.472028E+00
0.0105,1.471599E+00,1.471934E+00,1.471611E+00,1.485949E+00,1.472558E+00,1.472082E+00
0.0115,1.471615E+00,1.471950E+00,1.471626E+00,1.485787E+00,1.472658E+00,1.472138E+00
0.0125,1.471633E+00,1.471965E+00,1.471643E+00,1.485569E+00,1.472757E+00,1.472193E+00
0.0135,1.471652E+00,1.471983E+00,1.471662E+00,1.485408E+00,1.472857E+00,1.472250E+00
0.0145,1.471672E+00,1.472002E+00,1.471681E+00,1.485209E+00,1.472957E+00,1.472308E+00
0.0155,1.471695E+00,1.472023E+00,1.471703E+00,1.485053E+00,1.473057E+00,1.472366E+00
0.0165,1.471718E+00,1.472044E+00,1.471726E+00,1.484869E+00,1.473158E+00,1.472425E+00
0.0175,1.471743E+00,1.472069E+00,1.471751E+00,1.484720E+00,1.473258E+00,1.472485E+00
0.0185,1.471770E+00,1.472093E+00,1.471777E+00,1.484548E+00,1.473358E+00,1.472545E+00
0.0195,1.471798E+00,1.472120E+00,1.471804E+00,1.484406E+00,1.473459E+00,1.472607E+00
0.0205,1.471827E+00,1.472148E+00,1.471833E+00,1.484246E+00,1.473559E+00,1.472669E+00
0.0215,1.471858E+00,1.472178E+00,1.471864E+00,1.484111E+00,1.473659E+00,1.472732E+00
0.0225,1.471890E+00,1.472209E+00,1.471896E+00,1.483960E+00,1.473759E+00,1.472795E+00
0.0235,1.471924E+00,1.472241E+00,1.471930E+00,1.483833E+00,1.473859E+00,1.472860E+00
0.0245,1.471959E+00,1.472275E+00,1.471965E+00,1.483691E+00,1.473959E+00,1.472925E+00
0.0255,1.471996E+00,1.472311E+00,1.472002E+00,1.483573E+00,1.474059E+00,1.472991E+00
0.0265,1.472035E+00,1.472347E+00,1.472040E+00,1.483439E+00,1.474159E+00,1.473058E+00
0.0275,1.472074E+00,1.472386E+00,1.472080E+00,1.483329E+00,1.474259E+00,1.473125E+00
0.0285,1.472116E+00,1.472425E+00,1.472121E+00,1.483202E+00,1.474358E+00,1.473194E+00
0.0295,1.472158E+00,1.472467E+00,1.472163E+00,1.483100E+00,1.474458E+00,1.473263E+00
0.0305,1.472202E+00,1.472509E+00,1.472207E+00,1.482981E+00,1.474557E+00,1.473333E+00
0.0315,1.472248E+00,1.472553E+00,1.472253E+00,1.482887E+00,1.474656E+00,1.473404E+00
0.0325,1.472295E+00,1.472599E+00,1.472300E+00,1.482774E+00,1.474756E+00,1.473475E+00
0.0335,1.472344E+00,1.472646E+00,1.472349E+00,1.482688E+00,1.474855E+00,1.473548E+00
0.0345,1.472394E+00,1.472694E+00,1.472398E+00,1.482582E+00,1.474954E+00,1.473621E+00
0.0355,1.472445E+00,1.472744E+00,1.472450E+00,1.482502E+00,1.475053E+00,1.473695E+00
0.0365,1.472498E+00,1.472795E+00,1.472503E+00,1.482405E+00,1.475152E+00,1.473770E+00
0.0375,1.472553E+00,1.472848E+00,1.472558E+00,1.482331E+00,1.475251E+00,1.473846E+00
0.0385,1.472609E+00,1.472902E+00,1.472613E+00,1.482241E+00,1.475350E+00,1.473923E+00
0.0395,1.472666E+00,1.472958E+00,1.472671E+00,1.482173E+00,1.475449E+00,1.474001E+00
0.0405,1.472725E+00,1.473015E+00,1.472730E+00,1.482091E+00,1.475548E+00,1.474079E+00
0.0415,1.472786E+00,1.473074E+00,1.472790E+00,1.482028E+00,1.475647E+00,1.474159E+00
0.0425,1.472848E+00,1.473134E+00,1.472852E+00,1.481955E+00,1.475746E+00,1.474239E+00
0.0435,1.472911E+00,1.473195E+00,1.472915E+00,1.481896E+00,1.475845E+00,1.474321E+00
0.0445,1.472976E+00,1.473258E+00,1.472980E+00,1.481831E+00,1.475944E+00,1.474403E+00
0.0455,1.473042E+00,1.473323E+00,1.473047E+00,1.481777E+00,1.476043E+00,1.474486E+00
0.0465,1.473110E+00,1.473388E+00,1.473114E+00,1.481719E+00,1.476142E+00,1.474570E+00
0.0475,1.473179E+00,1.473456E+00,1.473184E+00,1.481671E+00,1.476242E+00,1.474655E+00
0.0485,1.473250E+00,1.473524E+00,1.473254E+00,1.481620E+00,1.476341E+00,1.474741E+00
0.0495,1.473322E+00,1.473595E+00,1.473327E+00,1.481577E+00,1.476441E+00,1.474828E+00
0.0505,1.473396E+00,1.473666E+00,1.473400E+00,1.481533E+00,1.476541E+00,1.474915E+00
0.0515,1.473471E+00,1.473739E+00,1.473476E+00,1.481495E+00,1.476641E+00,1.475004E+00
0.0525,1.473548E+00,1.473814E+00,1.473552E+00,1.481458E+00,1.476741E+00,1.475094E+00
0.0535,1.473626E+00,1.473890E+00,1.473631E+00,1.481425E+00,1.476841E+00,1.475185E+00
0.0545,1.473705E+00,1.473967E+00,1.473710E+00,1.481395E+00,1.476942E+00,1.475276E+00
0.0555,1.473787E+00,1.474046E+00,1.473791E+00,1.481367E+00,1.477043E+00,1.475369E+00
0.0565,1.473869E+00,1.474127E+00,1.473874E+00,1.481343E+00,1.477144E+00,1.475463E+00
0.0575,1.473953E+00,1.474209E+00,1.473958E+00,1.481321E+00,1.477246E+00,1.475557E+00
0.0585,1.474039E+00,1.474292E+00,1.474044E+00,1.481303E+00,1.477348E+00,1.475653E+00
0.0595,1.474126E+00,1.474377E+00,1.474131E+00,1.481286E+00,1.477450E+00,1.475750E+00
0.0605,1.474214E+00,1.474463E+00,1.474219E+00,1.481274E+00,1.477552E+00,1.475848E+00
0.0615,1.474304E+00,1.474551E+00,1.474310E+00,1.481263E+00,1.477655E+00,1.475946E+00
0.0625,1.474396E+00,1.474640E+00,1.474401E+00,1.481256E+00,1.477759E+00,1.476046E+00
0.0635,1.474489E+00,1.474731E+00,1.474494E+00,1.481250E+00,1.477863E+00,1.476147E+00
0.0645,1.474583E+00,1.474823E+00,1.474589E+00,1.481249E+00,1.477967E+00,1.476249E+00
0.0655,1.474679E+00,1.474917E+00,1.474685E+00,1.481249E+00,1.478071E+00,1.476352E+00
0.0665,1.474777E+00,1.475012E+00,1.474782E+00,1.481253E+00,1.478177E+00,1.476456E+00
0.0675,1.474875E+00,1.475108E+00,1.474881E+00,1.481259E+00,1.478282E+00,1.476561E+00
0.0685,1.474976E+00,1.475206E+00,1.474982E+00,1.481268E+00,1.478388E+00,1.476667E+00
0.0695,1.475078E+00,1.475306E+00,1.475084E+00,1.481279E+00,1.478495E+00,1.476774E+00
0.0705,1.475181E+00,1.475407E+00,1.475187E+00,1.481294E+00,1.478602E+00,1.476882E+00
0.0715,1.475286E+00,1.475509E+00,1.475292E+00,1.481310E+00,1.478710E+00,1.476992E+00
0.0725,1.475392E+00,1.475613E+00,1.475399E+00,1.481330E+00,1.478819E+00,1.477102E+00
0.0735,1.475500E+00,1.475719E+00,1.475506E+00,1.481352E+00,1.478928E+00,1.477213E+00
0.0745,1.475609E+00,1.475826E+00,1.475616E+00,1.481377E+00,1.479038E+00,1.477326E+00
0.0755,1.475720E+00,1.475934E+00,1.475727E+00,1.481404E+00,1.479148E+00,1.477440E+00
0.0765,1.475832E+00,1.476044E+00,1.475839E+00,1.481434E+00,1.479259E+00,1.477555E+00
0.0775,1.475946E+00,1.476155E+00,1.475953E+00,1.481466E+00,1.479371E+00,1.477671E+00
0.0785,1.476062E+00,1.476268E+00,1.476068E+00,1.481501E+00,1.479483E+00,1.477788E+00
0.0795,1.476178E+00,1.476383E+00,1.476185E+00,1.481539E+00,1.479596E+00,1.477906E+00
0.0805,1.476297E+00,1.476499E+00,1.476304E+00,1.481579E+00,1.479710E+00,1.478025E+00
0.0815,1.476416E+00,1.476616E+00,1.476424E+00,1.481622E+00,1.479825E+00,1.478146E+00
0.0825,1.476537E+00,1.476735E+00,1.476545E+00,1.481667E+00,1.479941E+00,1.478268E+00
0.0835,1.476660E+00,1.476855E+00,1.476668E+00,1.481714E+00,1.480057E+00,1.478390E+00
0.0845,1.476784E+00,1.476977E+00,1.476792E+00,1.481764E+00,1.480174E+00,1.478514E+00
0.0855,1.476910E+00,1.477100E+00,1.476918E+00,1.481817E+00,1.480292E+00,1.478639E+00
0.0865,1.477037E+00,1.477225E+00,1.477045E+00,1.481872E+00,1.480411E+00,1.478766E+00
0.0875,1.477166E+00,1.477351E+00,1.477174E+00,1.481930E+00,1.480531E+00,1.478893E+00
0.0885,1.477296E+00,1.477479E+00,1.477305E+00,1.481990E+00,1.480652E+00,1.479022E+00
0.0895,1.477428E+00,1.477608E+00,1.477436E+00,1.482052E+00,1.480773E+00,1.479152E+00
0.0905,1.477561E+00,1.477739E+00,1.477570E+00,1.482117E+00,1.480896E+00,1.479283E+00
0.0915,1.477696E+00,1.477871E+00,1.477705E+00,1.482185E+00,1.481019E+00,1.479415E+00
0.0925,1.477832E+00,1.478005E+00,1.477841E+00,1.482254E+00,1.481144E+00,1.479549E+00
0.0935,1.477970E+00,1.478140E+00,1.477979E+00,1.482327E+00,1.481269E+00,1.479683E+00
0.0945,1.478109E+00,1.478277E+00,1.478118E+00,1.482401E+00,1.481396E+00,1.479819E+00
0.0955,1.478250E+00,1.478415E+00,1.478259E+00,1.482478E+00,1.481523E+00,1.479956E+00
0.0965,1.478392E+00,1.478555E+00,1.478401E+00,1.482557E+00,1.481652E+00,1.480095E+00
0.0975,1.478535E+00,1.478696E+00,1.478545E+00,1.482639E+00,1.481781E+00,1.480234E+00
0.0985,1.478681E+00,1.478839E+00,1.478691E+00,1.482723E+00,1.481912E+00,1.480375E+00
0.0995,1.478827E+00,1.478983E+00,1.478837E+00,1.482810E+00,1.482044E+00,1.480517E+00
0.1005,1.478976E+00,1.479129E+00,1.478986E+00,1.482898E+00,1.482176E+00,1.480661E+00
0.1015,1.479125E+00,1.479276E+00,1.479136E+00,1.482990E+00,1.482310E+00,1.480805E+00
0.1025,1.479276E+00,1.479425E+00,1.479287E+00,1.483083E+00,1.482445E+00,1.480951E+00
0.1035,1.479429E+00,1.479576E+00,1.479440E+00,1.483179E+00,1.482582E+00,1.481098E+00
0.1045,1.479583E+00,1.479727E+00,1.479594E+00,1.483277E+00,1.482719E+00,1.481247E+00
0.1055,1.479739E+00,1.479881E+00,1.479750E+00,1.483377E+00,1.482857E+00,1.481396E+00
0.1065,1.479896E+00,1.480036E+00,1.479908E+00,1.483480E+00,1.482997E+00,1.481547E+00
0.1075,1.480055E+00,1.480192E+00,1.480067E+00,1.483585E+00,1.483138E+00,1.481699E+00
0.1085,1.480215E+00,1.480350E+00,1.480227E+00,1.483692E+00,1.483280E+00,1.481853E+00
0.1095,1.480377E+00,1.480509E+00,1.480389E+00,1.483802E+00,1.483424E+00,1.482008E+00
0.1105,1.480540E+00,1.480670E+00,1.480552E+00,1.483914E+00,1.483568E+00,1.482164E+00
0.1115,1.480705E+00,1.480833E+00,1.480717E+00,1.484028E+00,1.483714E+00,1.482321E+00
0.1125,1.480871E+00,1.480997E+00,1.480884E+00,1.484144E+00,1.483861E+00,1.482480E+00
0.1135,1.481039E+00,1.481162E+00,1.481052E+00,1.484263E+00,1.484010E+00,1.482640E+00
0.1145,1.481208E+00,1.481329E+00,1.481221E+00,1.484383E+00,1.484159E+00,1.482802E+00
0.1155,1.481379E+00,1.481498E+00,1.481392E+00,1.484506E+00,1.484310E+00,1.482964E+00
0.1165,1.481551E+00,1.481668E+00,1.481565E+00,1.484632E+00,1.484463E+00,1.483128E+00
0.1175,1.481725E+00,1.481840E+00,1.481739E+00,1.484759E+00,1.484616E+00,1.483294E+00
0.1185,1.481901E+00,1.482013E+00,1.481915E+00,1.484889E+00,1.484771E+00,1.483460E+00
0.1195,1.482077E+00,1.482188E+00,1.482092E+00,1.485021E+00,1.484927E+00,1.483628E+00
0.1205,1.482256E+00,1.482364E+00,1.482270E+00,1.485155E+00,1.485085E+00,1.483798E+00
0.1215,1.482436E+00,1.482542E+00,1.482450E+00,1.485291E+00,1.485244E+00,1.483969E+00
0.1225,1.482617E+00,1.482721E+00,1.482632E+00,1.485429E+00,1.485405E+00,1.484141E+00
0.1235,1.482800E+00,1.482902E+00,1.482815E+00,1.485570E+00,1.485566E+00,1.484314E+00
0.1245,1.482985E+00,1.483084E+00,1.483000E+00,1.485713E+00,1.485730E+00,1.484489E+00
0.1255,1.483170E+00,1.483268E+00,1.483186E+00,1.485858E+00,1.485894E+00,1.484665E+00
0.1265,1.483358E+00,1.483453E+00,1.483374E+00,1.486005E+00,1.486060E+00,1.484843E+00
0.1275,1.483547E+00,1.483640E+00,1.483563E+00,1.486154E+00,1.486228E+00,1.485022E+00
0.1285,1.483738E+00,1.483829E+00,1.483754E+00,1.486306E+00,1.486397E+00,1.485202E+00
0.1295,1.483930E+00,1.484019E+00,1.483946E+00,1.486459E+00,1.486567E+00,1.485384E+00
0.1305,1.484123E+00,1.484211E+00,1.484140E+00,1.486615E+00,1.486739E+00,1.485567E+00
0.1315,1.484318E+00,1.484404E+00,1.484335E+00,1.486773E+00,1.486912E+00,1.485752E+00
0.1325,1.484515E+00,1.484599E+00,1.484532E+00,1.486932E+00,1.487087E+00,1.485938E+00
0.1335,1.484713E+00,1.484795E+00,1.484731E+00,1.487094E+00,1.487263E+00,1.486125E+00
0.1345,1.484913E+00,1.484993E+00,1.484931E+00,1.487259E+00,1.487441E+00,1.486314E+00
0.1355,1.485114E+00,1.485192E+00,1.485132E+00,1.487425E+00,1.487621E+00,1.486505E+00
0.1365,1.485317E+00,1.485393E+00,1.485335E+00,1.487593E+00,1.487801E+00,1.486696E+00
0.1375,1.485521E+00,1.485595E+00,1.485540E+00,1.487763E+00,1.487984E+00,1.486889E+00
0.1385,1.485727E+00,1.485799E+00,1.485746E+00,1.487936E+00,1.488167E+00,1.487084E+00
0.1395,1.485934E+00,1.486005E+00,1.485953E+00,1.488110E+00,1.488353E+00,1.487280E+00
0.1405,1.486143E+00,1.486212E+00,1.486162E+00,1.488287E+00,1.488540E+00,1.487477E+00
0.1415,1.486353E+00,1.486421E+00,1.486373E+00,1.488466E+00,1.488728E+00,1.487676E+00
0.1425,1.486565E+00,1.486631E+00,1.486585E+00,1.488646E+00,1.488918E+00,1.487877E+00
0.1435,1.486779E+00,1.486843E+00,1.486799E+00,1.488829E+00,1.489110E+00,1.488079E+00
0.1445,1.486994E+00,1.487056E+00,1.487014E+00,1.489014E+00,1.489303E+00,1.488282E+00
0.1455,1.487210E+00,1.487271E+00,1.487231E+00,1.489201E+00,1.489498E+00,1.488487E+00
0.1465,1.487429E+00,1.487487E+00,1.487449E+00,1.489390E+00,1.489694E+00,1.488693E+00
0.1475,1.487648E+00,1.487705E+00,1.487669E+00,1.489580E+00,1.489892E+00,1.488901E+00
0.1485,1.487869E+00,1.487925E+00,1.487891E+00,1.489773E+00,1.490091E+00,1.489110E+00
0.1495,1.488092E+00,1.488146E+00,1.488114E+00,1.489968E+00,1.490293E+00,1.489320E+00
