R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.59E-02,1.29E-04,9.54E-02,2.48E-04,1.57E-04
0.0015,1.57E-02,4.64E-05,9.49E-02,3.22E-04,1.65E-04
0.0025,1.57E-02,2.78E-05,9.45E-02,4.75E-04,2.31E-04
0.0035,1.57E-02,2.01E-05,9.42E-02,6.41E-04,3.06E-04
0.0045,1.57E-02,1.61E-05,9.38E-02,8.09E-04,3.83E-04
0.0055,1.57E-02,1.37E-05,9.35E-02,9.79E-04,4.61E-04
0.0065,1.57E-02,1.22E-05,9.31E-02,1.15E-03,5.39E-04
0.0075,1.57E-02,1.13E-05,9.28E-02,1.32E-03,6.17E-04
0.0085,1.57E-02,1.09E-05,9.25E-02,1.48E-03,6.95E-04
0.0095,1.57E-02,1.07E-05,9.21E-02,1.65E-03,7.72E-04
0.0105,1.56E-02,1.07E-05,9.18E-02,1.82E-03,8.49E-04
0.0115,1.56E-02,1.10E-05,9.15E-02,1.98E-03,9.25E-04
0.0125,1.56E-02,1.14E-05,9.11E-02,2.15E-03,1.00E-03
0.0135,1.56E-02,1.20E-05,9.08E-02,2.31E-03,1.08E-03
0.0145,1.56E-02,1.27E-05,9.05E-02,2.47E-03,1.15E-03
0.0155,1.56E-02,1.35E-05,9.01E-02,2.63E-03,1.22E-03
0.0165,1.56E-02,1.44E-05,8.98E-02,2.79E-03,1.30E-03
0.0175,1.56E-02,1.54E-05,8.95E-02,2.95E-03,1.37E-03
0.0185,1.56E-02,1.65E-05,8.92E-02,3.11E-03,1.44E-03
0.0195,1.56E-02,1.76E-05,8.89E-02,3.26E-03,1.51E-03
0.0205,1.56E-02,1.89E-05,8.85E-02,3.42E-03,1.59E-03
0.0215,1.56E-02,2.02E-05,8.82E-02,3.57E-03,1.66E-03
0.0225,1.56E-02,2.16E-05,8.79E-02,3.73E-03,1.73E-03
0.0235,1.56E-02,2.31E-05,8.76E-02,3.88E-03,1.80E-03
0.0245,1.56E-02,2.46E-05,8.73E-02,4.03E-03,1.86E-03
0.0255,1.56E-02,2.62E-05,8.70E-02,4.18E-03,1.93E-03
0.0265,1.56E-02,2.79E-05,8.67E-02,4.33E-03,2.00E-03
0.0275,1.56E-02,2.96E-05,8.64E-02,4.48E-03,2.07E-03
0.0285,1.56E-02,3.14E-05,8.61E-02,4.62E-03,2.13E-03
0.0295,1.56E-02,3.33E-05,8.58E-02,4.77E-03,2.20E-03
0.0305,1.56E-02,3.52E-05,8.55E-02,4.91E-03,2.27E-03
0.0315,1.56E-02,3.72E-05,8.52E-02,5.05E-03,2.33E-03
0.0325,1.56E-02,3.92E-05,8.49E-02,5.20E-03,2.40E-03
0.0335,1.56E-02,4.13E-05,8.46E-02,5.34E-03,2.46E-03
0.0345,1.56E-02,4.34E-05,8.43E-02,5.48E-03,2.52E-03
