R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.152693E-02,4.170200E-05,7.081529E-02,1.316034E-04,6.846799E-05
0.0015,1.708256E-02,5.803885E-05,1.040851E-01,2.934607E-04,1.451487E-04
0.0025,1.525094E-02,3.431359E-05,9.299779E-02,4.323184E-04,2.084526E-04
0.0035,1.610879E-02,2.626899E-05,9.899438E-02,6.034410E-04,2.836975E-04
0.0045,1.532809E-02,1.947448E-05,9.114261E-02,7.555546E-04,3.561839E-04
0.0055,1.593069E-02,1.659043E-05,9.479649E-02,9.222413E-04,4.328295E-04
0.0065,1.551351E-02,1.396077E-05,9.318033E-02,1.082895E-03,5.056704E-04
0.0075,1.571982E-02,1.245073E-05,9.251691E-02,1.243087E-03,5.815135E-04
0.0085,1.562435E-02,1.129556E-05,9.243047E-02,1.403299E-03,6.541167E-04
0.0095,1.565530E-02,1.062477E-05,9.206122E-02,1.562259E-03,7.284795E-04
0.0105,1.564433E-02,1.023723E-05,9.168341E-02,1.720194E-03,8.006846E-04
0.0115,1.564522E-02,1.014152E-05,9.133629E-02,1.877148E-03,8.735370E-04
0.0125,1.564348E-02,1.028606E-05,9.099549E-02,2.033081E-03,9.450877E-04
0.0135,1.564222E-02,1.064668E-05,9.065524E-02,2.187970E-03,1.016589E-03
0.0145,1.564086E-02,1.119583E-05,9.031627E-02,2.341809E-03,1.087260E-03
0.0155,1.563947E-02,1.190969E-05,8.997916E-02,2.494592E-03,1.157552E-03
0.0165,1.563803E-02,1.276745E-05,8.964396E-02,2.646316E-03,1.227212E-03
0.0175,1.563651E-02,1.375172E-05,8.931056E-02,2.796979E-03,1.296372E-03
0.0185,1.563492E-02,1.484841E-05,8.897886E-02,2.946579E-03,1.364965E-03
0.0195,1.563323E-02,1.604632E-05,8.864879E-02,3.095115E-03,1.433024E-03
0.0205,1.563145E-02,1.733662E-05,8.832028E-02,3.242588E-03,1.500535E-03
0.0215,1.562957E-02,1.871239E-05,8.799330E-02,3.388997E-03,1.567505E-03
0.0225,1.562758E-02,2.016816E-05,8.766779E-02,3.534344E-03,1.633932E-03
0.0235,1.562548E-02,2.169963E-05,8.734372E-02,3.678630E-03,1.699820E-03
0.0245,1.562326E-02,2.330334E-05,8.702106E-02,3.821855E-03,1.765169E-03
0.0255,1.562092E-02,2.497649E-05,8.669978E-02,3.964023E-03,1.829981E-03
0.0265,1.561845E-02,2.671678E-05,8.637985E-02,4.105133E-03,1.894257E-03
0.0275,1.561585E-02,2.852231E-05,8.606123E-02,4.245189E-03,1.958000E-03
0.0285,1.561311E-02,3.039146E-05,8.574392E-02,4.384193E-03,2.021210E-03
0.0295,1.561024E-02,3.232287E-05,8.542788E-02,4.522147E-03,2.083890E-03
0.0305,1.560723E-02,3.431532E-05,8.511308E-02,4.659052E-03,2.146042E-03
0.0315,1.560408E-02,3.636778E-05,8.479952E-02,4.794912E-03,2.207666E-03
0.0325,1.560077E-02,3.847930E-05,8.448717E-02,4.929729E-03,2.268766E-03
0.0335,1.559733E-02,4.064903E-05,8.417601E-02,5.063506E-03,2.329342E-03
0.0345,1.559373E-02,4.287619E-05,8.386602E-02,5.196244E-03,2.389397E-03
0.0355,1.558997E-02,4.516007E-05,8.355718E-02,5.327948E-03,2.448932E-03
0.0365,1.558606E-02,4.750000E-05,8.324949E-02,5.458620E-03,2.507949E-03
0.0375,1.558199E-02,4.989536E-05,8.294291E-02,5.588262E-03,2.566451E-03
0.0385,1.557776E-02,5.234554E-05,8.263745E-02,5.716877E-03,2.624438E-03
0.0395,1.557337E-02,5.484998E-05,8.233307E-02,5.844468E-03,2.681913E-03
0.0405,1.556882E-02,5.740814E-05,8.202977E-02,5.971039E-03,2.738878E-03
0.0415,1.556410E-02,6.001949E-05,8.172753E-02,6.096591E-03,2.795333E-03
0.0425,1.555921E-02,6.268352E-05,8.142634E-02,6.221129E-03,2.851282E-03
0.0435,1.555415E-02,6.539975E-05,8.112619E-02,6.344655E-03,2.906726E-03
0.0445,1.554892E-02,6.816768E-05,8.082706E-02,6.467171E-03,2.961667E-03
0.0455,1.554351E-02,7.098686E-05,8.052894E-02,6.588682E-03,3.016107E-03
0.0465,1.553793E-02,7.385682E-05,8.023182E-02,6.709190E-03,3.070047E-03
0.0475,1.553217E-02,7.677710E-05,7.993568E-02,6.828698E-03,3.123489E-03
0.0485,1.552624E-02,7.974726E-05,7.964053E-02,6.947210E-03,3.176435E-03
0.0495,1.552012E-02,8.276685E-05,7.934634E-02,7.064728E-03,3.228887E-03
0.0505,1.551383E-02,8.583545E-05,7.905310E-02,7.181255E-03,3.280847E-03
0.0515,1.550735E-02,8.895263E-05,7.876081E-02,7.296795E-03,3.332316E-03
0.0525,1.550069E-02,9.211794E-05,7.846945E-02,7.411351E-03,3.383297E-03
0.0535,1.549384E-02,9.533098E-05,7.817902E-02,7.524926E-03,3.433790E-03
0.0545,1.548681E-02,9.859132E-05,7.788951E-02,7.637523E-03,3.483798E-03
0.0555,1.547959E-02,1.018985E-04,7.760090E-02,7.749145E-03,3.533323E-03
0.0565,1.547218E-02,1.052522E-04,7.731319E-02,7.859796E-03,3.582367E-03
0.0575,1.546458E-02,1.086520E-04,7.702636E-02,7.969478E-03,3.630930E-03
0.0585,1.545679E-02,1.120974E-04,7.674042E-02,8.078195E-03,3.679015E-03
0.0595,1.544881E-02,1.155880E-04,7.645535E-02,8.185949E-03,3.726624E-03
0.0605,1.544063E-02,1.191235E-04,7.617114E-02,8.292745E-03,3.773759E-03
0.0615,1.543226E-02,1.227034E-04,7.588779E-02,8.398585E-03,3.820420E-03
0.0625,1.542370E-02,1.263273E-04,7.560529E-02,8.503473E-03,3.866611E-03
0.0635,1.541494E-02,1.299948E-04,7.532363E-02,8.607411E-03,3.912332E-03
0.0645,1.540598E-02,1.337055E-04,7.504281E-02,8.710403E-03,3.957586E-03
0.0655,1.539682E-02,1.374591E-04,7.476281E-02,8.812452E-03,4.002374E-03
0.0665,1.538747E-02,1.412550E-04,7.448363E-02,8.913561E-03,4.046697E-03
0.0675,1.537791E-02,1.450930E-04,7.420527E-02,9.013734E-03,4.090559E-03
0.0685,1.536816E-02,1.489725E-04,7.392771E-02,9.112973E-03,4.133960E-03
