R,LDG,LDGQ,LDP,LDPQ,WD
0.0001,2.63E-04,3.69E-05,1.15E-02,4.56E-05,3.95E-05
0.0003,2.36E-04,1.35E-05,1.15E-02,3.37E-05,2.32E-05
0.0005,2.30E-04,8.00E-06,1.14E-02,4.14E-05,2.48E-05
0.0007,2.27E-04,5.68E-06,1.14E-02,5.24E-05,2.96E-05
0.0009,2.25E-04,4.41E-06,1.13E-02,6.44E-05,3.53E-05
0.0011,2.25E-04,3.61E-06,1.13E-02,7.69E-05,4.15E-05
0.0013,2.24E-04,3.05E-06,1.13E-02,8.96E-05,4.78E-05
0.0015,2.23E-04,2.64E-06,1.12E-02,1.02E-04,5.43E-05
0.0017,2.23E-04,2.33E-06,1.12E-02,1.15E-04,6.08E-05
0.0019,2.23E-04,2.09E-06,1.11E-02,1.28E-04,6.73E-05
0.0021,2.23E-04,1.89E-06,1.11E-02,1.41E-04,7.39E-05
0.0023,2.22E-04,1.72E-06,1.11E-02,1.54E-04,8.05E-05
0.0025,2.22E-04,1.59E-06,1.10E-02,1.67E-04,8.71E-05
0.0027,2.22E-04,1.47E-06,1.10E-02,1.80E-04,9.36E-05
0.0029,2.22E-04,1.37E-06,1.10E-02,1.93E-04,1.00E-04
0.0031,2.22E-04,1.28E-06,1.09E-02,2.06E-04,1.07E-04
0.0033,2.22E-04,1.21E-06,1.09E-02,2.19E-04,1.13E-04
0.0035,2.22E-04,1.14E-06,1.09E-02,2.32E-04,1.20E-04
0.0037,2.21E-04,1.08E-06,1.08E-02,2.45E-04,1.26E-04
0.0039,2.21E-04,1.02E-06,1.08E-02,2.58E-04,1.33E-04
0.0041,2.21E-04,9.74E-07,1.08E-02,2.71E-04,1.39E-04
0.0043,2.21E-04,9.30E-07,1.07E-02,2.83E-04,1.45E-04
0.0045,2.21E-04,8.90E-07,1.07E-02,2.96E-04,1.52E-04
0.0047,2.21E-04,8.53E-07,1.07E-02,3.09E-04,1.58E-04
0.0049,2.21E-04,8.20E-07,1.06E-02,3.22E-04,1.65E-04
0.0051,2.21E-04,7.89E-07,1.06E-02,3.35E-04,1.71E-04
0.0053,2.21E-04,7.61E-07,1.06E-02,3.47E-04,1.77E-04
0.0055,2.21E-04,7.34E-07,1.05E-02,3.60E-04,1.83E-04
0.0057,2.21E-04,7.10E-07,1.05E-02,3.73E-04,1.90E-04
0.0059,2.21E-04,6.87E-07,1.05E-02,3.85E-04,1.96E-04
0.0061,2.21E-04,6.66E-07,1.04E-02,3.98E-04,2.02E-04
0.0063,2.20E-04,6.47E-07,1.04E-02,4.11E-04,2.08E-04
0.0065,2.20E-04,6.29E-07,1.04E-02,4.23E-04,2.14E-04
0.0067,2.20E-04,6.12E-07,1.03E-02,4.36E-04,2.21E-04
0.0069,2.20E-04,5.96E-07,1.03E-02,4.48E-04,2.27E-04
0.0071,2.20E-04,5.81E-07,1.03E-02,4.61E-04,2.33E-04
0.0073,2.20E-04,5.66E-07,1.02E-02,4.73E-04,2.39E-04
0.0075,2.20E-04,5.53E-07,1.02E-02,4.86E-04,2.45E-04
0.0077,2.20E-04,5.41E-07,1.02E-02,4.98E-04,2.51E-04
0.0079,2.20E-04,5.29E-07,1.02E-02,5.10E-04,2.57E-04
0.0081,2.20E-04,5.18E-07,1.01E-02,5.23E-04,2.63E-04
0.0083,2.20E-04,5.08E-07,1.01E-02,5.35E-04,2.69E-04
0.0085,2.20E-04,4.98E-07,1.01E-02,5.47E-04,2.75E-04
0.0087,2.20E-04,4.88E-07,1.00E-02,5.60E-04,2.80E-04
0.0089,2.20E-04,4.80E-07,1.00E-02,5.72E-04,2.86E-04
0.0091,2.19E-04,4.71E-07,9.97E-03,5.84E-04,2.92E-04
0.0093,2.19E-04,4.64E-07,9.94E-03,5.96E-04,2.98E-04
0.0095,2.19E-04,4.56E-07,9.91E-03,6.08E-04,3.04E-04
0.0097,2.19E-04,4.49E-07,9.88E-03,6.20E-04,3.09E-04
0.0099,2.19E-04,4.43E-07,9.86E-03,6.32E-04,3.15E-04
0.0101,2.19E-04,4.37E-07,9.83E-03,6.44E-04,3.21E-04
0.0103,2.19E-04,4.31E-07,9.80E-03,6.56E-04,3.27E-04
0.0105,2.19E-04,4.25E-07,9.77E-03,6.68E-04,3.32E-04
0.0107,2.19E-04,4.20E-07,9.74E-03,6.80E-04,3.38E-04
0.0109,2.19E-04,4.15E-07,9.71E-03,6.92E-04,3.43E-04
0.0111,2.19E-04,4.10E-07,9.68E-03,7.04E-04,3.49E-04
0.0113,2.19E-04,4.06E-07,9.66E-03,7.15E-04,3.55E-04
0.0115,2.19E-04,4.02E-07,9.63E-03,7.27E-04,3.60E-04
0.0117,2.18E-04,3.98E-07,9.60E-03,7.39E-04,3.66E-04
0.0119,2.18E-04,3.95E-07,9.57E-03,7.50E-04,3.71E-04
0.0121,2.18E-04,3.91E-07,9.55E-03,7.62E-04,3.77E-04
0.0123,2.18E-04,3.88E-07,9.52E-03,7.74E-04,3.82E-04
0.0125,2.18E-04,3.85E-07,9.49E-03,7.85E-04,3.87E-04
0.0127,2.18E-04,3.83E-07,9.46E-03,7.97E-04,3.93E-04
0.0129,2.18E-04,3.80E-07,9.44E-03,8.08E-04,3.98E-04
0.0131,2.18E-04,3.78E-07,9.41E-03,8.19E-04,4.04E-04
0.0133,2.18E-04,3.76E-07,9.38E-03,8.31E-04,4.09E-04
0.0135,2.18E-04,3.74E-07,9.36E-03,8.42E-04,4.14E-04
0.0137,2.18E-04,3.72E-07,9.33E-03,8.53E-04,4.19E-04
0.0139,2.17E-04,3.70E-07,9.30E-03,8.65E-04,4.25E-04
0.0141,2.17E-04,3.69E-07,9.28E-03,8.76E-04,4.30E-04
0.0143,2.17E-04,3.68E-07,9.25E-03,8.87E-04,4.35E-04
0.0145,2.17E-04,3.67E-07,9.22E-03,8.98E-04,4.40E-04
0.0147,2.17E-04,3.66E-07,9.20E-03,9.09E-04,4.45E-04
0.0149,2.17E-04,3.65E-07,9.17E-03,9.20E-04,4.51E-04
0.0151,2.17E-04,3.64E-07,9.14E-03,9.31E-04,4.56E-04
0.0153,2.17E-04,3.64E-07,9.12E-03,9.42E-04,4.61E-04
0.0155,2.17E-04,3.63E-07,9.09E-03,9.53E-04,4.66E-04
0.0157,2.16E-04,3.63E-07,9.07E-03,9.64E-04,4.71E-04
0.0159,2.16E-04,3.63E-07,9.04E-03,9.75E-04,4.76E-04
0.0161,2.16E-04,3.63E-07,9.02E-03,9.85E-04,4.81E-04
0.0163,2.16E-04,3.63E-07,8.99E-03,9.96E-04,4.86E-04
0.0165,2.16E-04,3.64E-07,8.97E-03,1.01E-03,4.91E-04
0.0167,2.16E-04,3.64E-07,8.94E-03,1.02E-03,4.96E-04
0.0169,2.16E-04,3.65E-07,8.92E-03,1.03E-03,5.01E-04
0.0171,2.16E-04,3.65E-07,8.89E-03,1.04E-03,5.06E-04
0.0173,2.16E-04,3.66E-07,8.87E-03,1.05E-03,5.10E-04
0.0175,2.15E-04,3.67E-07,8.84E-03,1.06E-03,5.15E-04
0.0177,2.15E-04,3.68E-07,8.82E-03,1.07E-03,5.20E-04
0.0179,2.15E-04,3.69E-07,8.79E-03,1.08E-03,5.25E-04
0.0181,2.15E-04,3.70E-07,8.77E-03,1.09E-03,5.30E-04
0.0183,2.15E-04,3.72E-07,8.74E-03,1.10E-03,5.34E-04
0.0185,2.15E-04,3.73E-07,8.72E-03,1.11E-03,5.39E-04
0.0187,2.15E-04,3.75E-07,8.69E-03,1.12E-03,5.44E-04
0.0189,2.15E-04,3.76E-07,8.67E-03,1.13E-03,5.49E-04
0.0191,2.14E-04,3.78E-07,8.65E-03,1.14E-03,5.53E-04
0.0193,2.14E-04,3.80E-07,8.62E-03,1.15E-03,5.58E-04
0.0195,2.14E-04,3.82E-07,8.60E-03,1.16E-03,5.63E-04
0.0197,2.14E-04,3.84E-07,8.57E-03,1.17E-03,5.67E-04
0.0199,2.14E-04,3.86E-07,8.55E-03,1.18E-03,5.72E-04
0.0201,2.14E-04,3.88E-07,8.53E-03,1.19E-03,5.76E-04
0.0203,2.14E-04,3.91E-07,8.50E-03,1.20E-03,5.81E-04
0.0205,2.14E-04,3.93E-07,8.48E-03,1.21E-03,5.85E-04
0.0207,2.13E-04,3.96E-07,8.46E-03,1.22E-03,5.90E-04
0.0209,2.13E-04,3.98E-07,8.43E-03,1.23E-03,5.94E-04
0.0211,2.13E-04,4.01E-07,8.41E-03,1.24E-03,5.99E-04
0.0213,2.13E-04,4.04E-07,8.39E-03,1.25E-03,6.03E-04
0.0215,2.13E-04,4.07E-07,8.36E-03,1.26E-03,6.08E-04
0.0217,2.13E-04,4.10E-07,8.34E-03,1.27E-03,6.12E-04
0.0219,2.13E-04,4.13E-07,8.32E-03,1.28E-03,6.16E-04
0.0221,2.12E-04,4.16E-07,8.30E-03,1.29E-03,6.21E-04
0.0223,2.12E-04,4.19E-07,8.27E-03,1.30E-03,6.25E-04
0.0225,2.12E-04,4.23E-07,8.25E-03,1.31E-03,6.29E-04
0.0227,2.12E-04,4.26E-07,8.23E-03,1.32E-03,6.34E-04
0.0229,2.12E-04,4.29E-07,8.21E-03,1.32E-03,6.38E-04
0.0231,2.12E-04,4.33E-07,8.18E-03,1.33E-03,6.42E-04
0.0233,2.11E-04,4.37E-07,8.16E-03,1.34E-03,6.46E-04
0.0235,2.11E-04,4.40E-07,8.14E-03,1.35E-03,6.51E-04
0.0237,2.11E-04,4.44E-07,8.12E-03,1.36E-03,6.55E-04
0.0239,2.11E-04,4.48E-07,8.09E-03,1.37E-03,6.59E-04
0.0241,2.11E-04,4.52E-07,8.07E-03,1.38E-03,6.63E-04
0.0243,2.11E-04,4.56E-07,8.05E-03,1.39E-03,6.67E-04
0.0245,2.11E-04,4.60E-07,8.03E-03,1.40E-03,6.71E-04
0.0247,2.10E-04,4.64E-07,8.01E-03,1.41E-03,6.75E-04
0.0249,2.10E-04,4.69E-07,7.99E-03,1.41E-03,6.79E-04
0.0251,2.10E-04,4.73E-07,7.96E-03,1.42E-03,6.83E-04
0.0253,2.10E-04,4.77E-07,7.94E-03,1.43E-03,6.87E-04
0.0255,2.10E-04,4.82E-07,7.92E-03,1.44E-03,6.91E-04
0.0257,2.10E-04,4.86E-07,7.90E-03,1.45E-03,6.95E-04
0.0259,2.09E-04,4.91E-07,7.88E-03,1.46E-03,6.99E-04
0.0261,2.09E-04,4.96E-07,7.86E-03,1.47E-03,7.03E-04
0.0263,2.09E-04,5.01E-07,7.84E-03,1.47E-03,7.07E-04
0.0265,2.09E-04,5.05E-07,7.81E-03,1.48E-03,7.11E-04
0.0267,2.09E-04,5.10E-07,7.79E-03,1.49E-03,7.15E-04
0.0269,2.09E-04,5.15E-07,7.77E-03,1.50E-03,7.19E-04
0.0271,2.08E-04,5.20E-07,7.75E-03,1.51E-03,7.23E-04
0.0273,2.08E-04,5.26E-07,7.73E-03,1.52E-03,7.27E-04
0.0275,2.08E-04,5.31E-07,7.71E-03,1.52E-03,7.30E-04
0.0277,2.08E-04,5.36E-07,7.69E-03,1.53E-03,7.34E-04
0.0279,2.08E-04,5.41E-07,7.67E-03,1.54E-03,7.38E-04
0.0281,2.08E-04,5.47E-07,7.65E-03,1.55E-03,7.42E-04
0.0283,2.07E-04,5.52E-07,7.63E-03,1.56E-03,7.45E-04
0.0285,2.07E-04,5.58E-07,7.61E-03,1.56E-03,7.49E-04
0.0287,2.07E-04,5.64E-07,7.59E-03,1.57E-03,7.53E-04
0.0289,2.07E-04,5.69E-07,7.57E-03,1.58E-03,7.56E-04
0.0291,2.07E-04,5.75E-07,7.55E-03,1.59E-03,7.60E-04
0.0293,2.06E-04,5.81E-07,7.53E-03,1.60E-03,7.64E-04
0.0295,2.06E-04,5.87E-07,7.51E-03,1.60E-03,7.67E-04
0.0297,2.06E-04,5.93E-07,7.49E-03,1.61E-03,7.71E-04
0.0299,2.06E-04,5.99E-07,7.47E-03,1.62E-03,7.74E-04
0.0301,2.06E-04,6.05E-07,7.45E-03,1.63E-03,7.78E-04
0.0303,2.06E-04,6.11E-07,7.43E-03,1.63E-03,7.81E-04
0.0305,2.05E-04,6.17E-07,7.41E-03,1.64E-03,7.85E-04
0.0307,2.05E-04,6.24E-07,7.39E-03,1.65E-03,7.88E-04
0.0309,2.05E-04,6.30E-07,7.37E-03,1.66E-03,7.92E-04
0.0311,2.05E-04,6.36E-07,7.35E-03,1.66E-03,7.95E-04
0.0313,2.05E-04,6.43E-07,7.33E-03,1.67E-03,7.99E-04
0.0315,2.04E-04,6.49E-07,7.31E-03,1.68E-03,8.02E-04
0.0317,2.04E-04,6.56E-07,7.29E-03,1.68E-03,8.06E-04
0.0319,2.04E-04,6.63E-07,7.27E-03,1.69E-03,8.09E-04
0.0321,2.04E-04,6.70E-07,7.25E-03,1.70E-03,8.12E-04
0.0323,2.04E-04,6.76E-07,7.23E-03,1.71E-03,8.16E-04
0.0325,2.03E-04,6.83E-07,7.21E-03,1.71E-03,8.19E-04
0.0327,2.03E-04,6.90E-07,7.19E-03,1.72E-03,8.22E-04
0.0329,2.03E-04,6.97E-07,7.18E-03,1.73E-03,8.26E-04
0.0331,2.03E-04,7.04E-07,7.16E-03,1.73E-03,8.29E-04
0.0333,2.03E-04,7.11E-07,7.14E-03,1.74E-03,8.32E-04
0.0335,2.02E-04,7.19E-07,7.12E-03,1.75E-03,8.35E-04
0.0337,2.02E-04,7.26E-07,7.10E-03,1.75E-03,8.39E-04
0.0339,2.02E-04,7.33E-07,7.08E-03,1.76E-03,8.42E-04
0.0341,2.02E-04,7.41E-07,7.06E-03,1.77E-03,8.45E-04
