R,LDG,LDGQ,LDP,LDPQ,WD
0.0001,1.72E-04,1.16E-05,8.39E-03,1.88E-05,1.45E-05
0.0003,2.52E-04,1.54E-05,1.25E-02,3.22E-05,2.25E-05
0.0005,2.25E-04,1.14E-05,1.13E-02,3.85E-05,2.30E-05
0.0007,2.34E-04,9.28E-06,1.18E-02,5.11E-05,2.86E-05
0.0009,2.25E-04,7.44E-06,1.14E-02,6.25E-05,3.37E-05
0.0011,2.28E-04,6.36E-06,1.15E-02,7.57E-05,4.04E-05
0.0013,2.24E-04,5.43E-06,1.13E-02,8.81E-05,4.65E-05
0.0015,2.25E-04,4.89E-06,1.13E-02,1.01E-04,5.33E-05
0.0017,2.23E-04,4.37E-06,1.12E-02,1.14E-04,5.97E-05
0.0019,2.24E-04,4.01E-06,1.12E-02,1.27E-04,6.65E-05
0.0021,2.22E-04,3.60E-06,1.11E-02,1.40E-04,7.30E-05
0.0023,2.23E-04,3.26E-06,1.11E-02,1.53E-04,7.97E-05
0.0025,2.22E-04,2.95E-06,1.10E-02,1.66E-04,8.62E-05
0.0027,2.22E-04,2.74E-06,1.10E-02,1.79E-04,9.29E-05
0.0029,2.22E-04,2.52E-06,1.10E-02,1.92E-04,9.94E-05
0.0031,2.22E-04,2.39E-06,1.09E-02,2.05E-04,1.06E-04
0.0033,2.21E-04,2.20E-06,1.09E-02,2.18E-04,1.12E-04
0.0035,2.22E-04,2.08E-06,1.09E-02,2.31E-04,1.19E-04
0.0037,2.21E-04,1.93E-06,1.08E-02,2.44E-04,1.26E-04
0.0039,2.21E-04,1.84E-06,1.08E-02,2.57E-04,1.32E-04
0.0041,2.21E-04,1.71E-06,1.08E-02,2.70E-04,1.38E-04
0.0043,2.21E-04,1.64E-06,1.07E-02,2.83E-04,1.45E-04
0.0045,2.21E-04,1.55E-06,1.07E-02,2.95E-04,1.51E-04
0.0047,2.21E-04,1.48E-06,1.07E-02,3.08E-04,1.58E-04
0.0049,2.21E-04,1.40E-06,1.06E-02,3.21E-04,1.64E-04
0.0051,2.21E-04,1.35E-06,1.06E-02,3.34E-04,1.70E-04
0.0053,2.21E-04,1.29E-06,1.06E-02,3.46E-04,1.77E-04
0.0055,2.21E-04,1.25E-06,1.05E-02,3.59E-04,1.83E-04
0.0057,2.20E-04,1.20E-06,1.05E-02,3.72E-04,1.89E-04
