R,LDPQ,WD,LDGQ
0.0005,16.520067,16.519429,16.519045
0.0015,16.520628,16.519401,16.518140
0.0025,16.521622,16.519779,16.517539
0.0035,16.522946,16.520435,16.517120
0.0045,16.524272,16.521104,16.516627
0.0055,16.525682,16.521831,16.516096
0.0065,16.527096,16.522542,16.515461
0.0075,16.528572,16.523273,16.514755
0.0085,16.530076,16.523985,16.513945
0.0095,16.531648,16.524701,16.513052
0.0105,16.533264,16.525397,16.512056
0.0115,16.534955,16.526088,16.510973
0.0125,16.536703,16.526758,16.509787
0.0135,16.538535,16.527418,16.508512
0.0145,16.540429,16.528055,16.507134
0.0155,16.542412,16.528677,16.505666
0.0165,16.544460,16.529274,16.504096
0.0175,16.546601,16.529852,16.502435
0.0185,16.548809,16.530403,16.500672
0.0195,16.551108,16.530932,16.498817
0.0205,16.553476,16.531433,16.496861
0.0215,16.555929,16.531908,16.494813
0.0225,16.558454,16.532352,16.492663
0.0235,16.561057,16.532768,16.490421
0.0245,16.563731,16.533151,16.488079
0.0255,16.566478,16.533504,16.485642
0.0265,16.569292,16.533821,16.483107
0.0275,16.572173,16.534105,16.480476
0.0285,16.575117,16.534352,16.477747
0.0295,16.578121,16.534563,16.474923
0.0305,16.581183,16.534735,16.472000
0.0315,16.584298,16.534869,16.468982
0.0325,16.587466,16.534961,16.465866
0.0335,16.590681,16.535013,16.462653
0.0345,16.593941,16.535022,16.459343
0.0355,16.597242,16.534988,16.455937
0.0365,16.600581,16.534908,16.452433
0.0375,16.603955,16.534784,16.448832
0.0385,16.607359,16.534612,16.445134
0.0395,16.610792,16.534393,16.441340
0.0405,16.614248,16.534125,16.437448
0.0415,16.617725,16.533808,16.433459
0.0425,16.621219,16.533439,16.429372
0.0435,16.624728,16.533019,16.425189
0.0445,16.628246,16.532545,16.420909
0.0455,16.631772,16.532019,16.416531
0.0465,16.635301,16.531436,16.412056
0.0475,16.638831,16.530799,16.407483
0.0485,16.642358,16.530104,16.402814
0.0495,16.645878,16.529352,16.398047
0.0505,16.649388,16.528541,16.393182
0.0515,16.652886,16.527671,16.388220
0.0525,16.656367,16.526740,16.383161
0.0535,16.659830,16.525747,16.378004
0.0545,16.663269,16.524691,16.372750
0.0555,16.666683,16.523573,16.367398
0.0565,16.670068,16.522389,16.361948
0.0575,16.673422,16.521141,16.356401
0.0585,16.676740,16.519826,16.350756
0.0595,16.680021,16.518443,16.345013
