R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,9.31E-04,1.27E-04,2.02E-02,1.80E-04,1.43E-04
0.0015,1.01E-03,6.81E-05,2.39E-02,2.00E-04,1.26E-04
0.0025,9.31E-04,4.62E-05,2.25E-02,2.62E-04,1.47E-04
0.0035,9.40E-04,3.49E-05,2.27E-02,3.47E-04,1.86E-04
0.0045,9.17E-04,2.71E-05,2.21E-02,4.31E-04,2.25E-04
0.0055,9.21E-04,2.29E-05,2.20E-02,5.19E-04,2.68E-04
0.0065,9.10E-04,1.95E-05,2.16E-02,6.06E-04,3.10E-04
0.0075,9.12E-04,1.71E-05,2.15E-02,6.94E-04,3.53E-04
0.0085,9.05E-04,1.47E-05,2.11E-02,7.80E-04,3.95E-04
0.0095,9.06E-04,1.32E-05,2.10E-02,8.67E-04,4.37E-04
0.0105,9.01E-04,1.19E-05,2.07E-02,9.52E-04,4.77E-04
0.0115,9.02E-04,1.09E-05,2.05E-02,1.04E-03,5.18E-04
0.0125,8.98E-04,9.97E-06,2.03E-02,1.12E-03,5.58E-04
0.0135,8.99E-04,9.33E-06,2.01E-02,1.21E-03,5.98E-04
0.0145,8.95E-04,8.62E-06,1.99E-02,1.29E-03,6.37E-04
0.0155,8.96E-04,8.17E-06,1.97E-02,1.37E-03,6.76E-04
0.0165,8.93E-04,7.62E-06,1.95E-02,1.45E-03,7.14E-04
0.0175,8.93E-04,7.31E-06,1.93E-02,1.53E-03,7.51E-04
0.0185,8.90E-04,6.87E-06,1.91E-02,1.61E-03,7.88E-04
0.0195,8.90E-04,6.65E-06,1.90E-02,1.69E-03,8.24E-04
0.0205,8.87E-04,6.30E-06,1.87E-02,1.76E-03,8.60E-04
0.0215,8.87E-04,6.15E-06,1.86E-02,1.84E-03,8.95E-04
0.0225,8.84E-04,5.87E-06,1.84E-02,1.91E-03,9.30E-04
0.0235,8.83E-04,5.76E-06,1.82E-02,1.99E-03,9.64E-04
0.0245,8.81E-04,5.54E-06,1.81E-02,2.06E-03,9.97E-04
0.0255,8.80E-04,5.46E-06,1.79E-02,2.13E-03,1.03E-03
0.0265,8.77E-04,5.29E-06,1.77E-02,2.20E-03,1.06E-03
0.0275,8.76E-04,5.23E-06,1.75E-02,2.27E-03,1.09E-03
0.0285,8.74E-04,5.11E-06,1.74E-02,2.34E-03,1.13E-03
0.0295,8.72E-04,5.08E-06,1.72E-02,2.41E-03,1.16E-03
